"LINK_ID"@"CONTRACT_MS_ID"@"VJ_AIRCRAFT_TYPE_ID"@"ID"@"TOTAL_AMOUNT_CENTS"@"USED_AMOUNT_CENTS"@"VALID_FROM"@"VALID_TO"@"DUE_DATE"@"NOTES"@"FEE_RATE"@"CO_DETAIL_ID"@"FI_INVOICE_ID"@"LINK_ID_1"@"MANAGEMENT_FEE_LINE_MS_ID"@"DESCRIPTION"@"MANAGEMENT_FEE_MS_ID"@"MANAGEMENT_FEE_SCHEDULE_TYPE"@"NAME"
582@""@10@2577@33750000@30637752@28/04/17 00:00:00,000000000@27/04/18 00:00:00,000000000@28/04/17 00:00:00,000000000@""@337500@73220@@783@""@""@""@6@"Annually"
582@""@10@2578@25312500@14056970@28/04/18 00:00:00,000000000@27/04/19 00:00:00,000000000@28/04/18 00:00:00,000000000@""@337500@73220@131391@784@""@""@""@6@"Annually"
582@""@10@2579@25312500@0@28/04/19 00:00:00,000000000@27/04/20 00:00:00,000000000@28/04/19 00:00:00,000000000@""@337500@73220@168490@785@""@""@""@6@"Annually"
582@""@10@2580@25312500@0@28/04/20 00:00:00,000000000@27/04/21 00:00:00,000000000@28/04/20 00:00:00,000000000@""@337500@73220@@782@""@""@""@6@"Annually"
582@""@10@2581@25312500@0@28/04/21 00:00:00,000000000@27/04/22 00:00:00,000000000@28/04/21 00:00:00,000000000@""@337500@73220@@781@""@""@""@6@"Annually"
860@""@10@2701@17000000@7670400@17/09/18 00:00:00,000000000@16/09/19 00:00:00,000000000@17/09/18 00:00:00,000000000@""@340000@73824@@964@""@""@""@6@"Annually"
860@""@10@2702@17000000@0@17/09/19 00:00:00,000000000@16/09/20 00:00:00,000000000@17/09/19 00:00:00,000000000@""@340000@73824@@965@""@""@""@6@"Annually"
860@""@10@2703@17000000@0@17/09/20 00:00:00,000000000@16/09/21 00:00:00,000000000@17/09/20 00:00:00,000000000@""@340000@73824@@966@""@""@""@6@"Annually"
614@""@6@2901@1500000@1500000@24/05/17 00:00:00,000000000@23/06/17 00:00:00,000000000@24/05/17 00:00:00,000000000@""@439139,559286@75322@@664@""@""@""@3@"Monthly"
614@""@6@2902@1500000@1500000@24/06/17 00:00:00,000000000@23/07/17 00:00:00,000000000@24/06/17 00:00:00,000000000@""@461411,245866@75322@@663@""@""@""@3@"Monthly"
614@""@6@2903@1500000@1533677@24/07/17 00:00:00,000000000@23/08/17 00:00:00,000000000@24/07/17 00:00:00,000000000@""@450000@75322@@662@""@""@""@3@"Monthly"
614@""@6@2904@1500000@1592900@24/08/17 00:00:00,000000000@23/09/17 00:00:00,000000000@24/08/17 00:00:00,000000000@""@439139,559286@75322@@661@""@""@""@3@"Monthly"
614@""@6@2905@1500000@1500000@24/09/17 00:00:00,000000000@23/10/17 00:00:00,000000000@24/09/17 00:00:00,000000000@""@461411,245866@75322@@660@""@""@""@3@"Monthly"
614@""@6@2906@1500000@1500000@24/10/17 00:00:00,000000000@23/11/17 00:00:00,000000000@24/10/17 00:00:00,000000000@""@439139,559286@75322@@659@""@""@""@3@"Monthly"
614@""@6@2907@1500000@2340526@24/11/17 00:00:00,000000000@23/12/17 00:00:00,000000000@24/11/17 00:00:00,000000000@""@461411,245866@75322@117991@658@""@""@""@3@"Monthly"
614@""@6@2908@1500000@3679840@24/12/17 00:00:00,000000000@23/01/18 00:00:00,000000000@24/12/17 00:00:00,000000000@""@450000@75322@120603@657@""@""@""@3@"Monthly"
614@""@6@2909@1500000@1547460@24/01/18 00:00:00,000000000@23/02/18 00:00:00,000000000@24/01/18 00:00:00,000000000@""@416862,326574@75322@122886@656@""@""@""@3@"Monthly"
614@""@6@2910@1500000@849266@24/02/18 00:00:00,000000000@23/03/18 00:00:00,000000000@24/02/18 00:00:00,000000000@""@488861,076346@75322@125559@655@""@""@""@3@"Monthly"
614@""@6@2911@1500000@0@24/03/18 00:00:00,000000000@23/04/18 00:00:00,000000000@09/04/18 00:00:00,000000000@""@439139,559286@75322@129855@654@""@""@""@3@"Monthly"
614@""@6@2912@1500000@0@24/04/18 00:00:00,000000000@23/05/18 00:00:00,000000000@09/04/18 00:00:00,000000000@""@461411,245866@75322@129946@653@""@""@""@3@"Monthly"
614@""@6@2913@1500000@1705508@24/05/18 00:00:00,000000000@23/06/18 00:00:00,000000000@24/05/18 00:00:00,000000000@""@439139,559286@75322@133865@652@""@""@""@3@"Monthly"
614@""@6@2914@1500000@1716619@24/06/18 00:00:00,000000000@23/07/18 00:00:00,000000000@24/06/18 00:00:00,000000000@""@461411,245866@75322@138066@651@""@""@""@3@"Monthly"
614@""@6@2915@1500000@3898262@24/07/18 00:00:00,000000000@23/08/18 00:00:00,000000000@24/07/18 00:00:00,000000000@""@450000@75322@143377@650@""@""@""@3@"Monthly"
614@""@6@2916@1500000@1675402@24/08/18 00:00:00,000000000@23/09/18 00:00:00,000000000@24/08/18 00:00:00,000000000@""@439139,559286@75322@147834@649@""@""@""@3@"Monthly"
614@""@6@2917@1500000@0@24/09/18 00:00:00,000000000@23/10/18 00:00:00,000000000@24/09/18 00:00:00,000000000@""@461411,245866@75322@150280@648@""@""@""@3@"Monthly"
